name_ja,unique_en_count,name_en,occurrence_count,source_architect_id,source_line
"日建設計",5,"NIKKEN SEKKEI",95,152,120
"日建設計",5,"NIKKEN SEKKEI",95,542,302
"日建設計",5,"NIKKEN SEKKEI",95,1743,814
"日建設計",5,"NIKKEN SEKKEI",95,3644,1567
"日建設計",5,"NIKKEN SEKKEI",95,3680,1580
"日建設計",5,"NIKKEN SEKKEI",95,3691,1584
"日建設計",5,"NIKKEN SEKKEI",95,3765,1616
"日建設計",5,"NIKKEN SEKKEI",95,4110,1790
"日建設計",5,"NIKKEN SEKKEI",95,4266,1844
"日建設計",5,"NIKKEN SEKKEI",95,4316,1865
"日建設計",5,"NIKKEN SEKKEI",95,4330,1871
"日建設計",5,"NIKKEN SEKKEI",95,4398,1891
"日建設計",5,"NIKKEN SEKKEI",95,4542,1946
"日建設計",5,"NIKKEN SEKKEI",95,4707,2015
"日建設計",5,"NIKKEN SEKKEI",95,4745,2027
"日建設計",5,"NIKKEN SEKKEI",95,4777,2040
"日建設計",5,"NIKKEN SEKKEI",95,4845,2074
"日建設計",5,"NIKKEN SEKKEI",95,4846,2075
"日建設計",5,"NIKKEN SEKKEI",95,5088,2195
"日建設計",5,"NIKKEN SEKKEI",95,5195,2248
"日建設計",5,"NIKKEN SEKKEI",95,5234,2269
"日建設計",5,"NIKKEN SEKKEI",95,5277,2294
"日建設計",5,"NIKKEN SEKKEI",95,5372,2339
"日建設計",5,"NIKKEN SEKKEI",95,5477,2393
"日建設計",5,"NIKKEN SEKKEI",95,5667,2485
"日建設計",5,"NIKKEN SEKKEI",95,5757,2534
"日建設計",5,"NIKKEN SEKKEI",95,5825,2573
"日建設計",5,"NIKKEN SEKKEI",95,5915,2614
"日建設計",5,"NIKKEN SEKKEI",95,6037,2681
"日建設計",5,"NIKKEN SEKKEI",95,6288,2802
"日建設計",5,"NIKKEN SEKKEI",95,6483,2893
"日建設計",5,"NIKKEN SEKKEI",95,6500,2907
"日建設計",5,"NIKKEN SEKKEI",95,6523,2919
"日建設計",5,"NIKKEN SEKKEI",95,6664,2993
"日建設計",5,"NIKKEN SEKKEI",95,6665,2994
"日建設計",5,"NIKKEN SEKKEI",95,6696,3010
"日建設計",5,"NIKKEN SEKKEI",95,6736,3026
"日建設計",5,"NIKKEN SEKKEI",95,6811,3054
"日建設計",5,"NIKKEN SEKKEI",95,6911,3108
"日建設計",5,"NIKKEN SEKKEI",95,6914,3110
"日建設計",5,"NIKKEN SEKKEI",95,6917,3113
"日建設計",5,"NIKKEN SEKKEI",95,7010,3156
"日建設計",5,"NIKKEN SEKKEI",95,7027,3165
"日建設計",5,"NIKKEN SEKKEI",95,7028,3166
"日建設計",5,"NIKKEN SEKKEI",95,7426,3357
"日建設計",5,"NIKKEN SEKKEI",95,7555,3421
"日建設計",5,"NIKKEN SEKKEI",95,7606,3456
"日建設計",5,"NIKKEN SEKKEI",95,7696,3509
"日建設計",5,"NIKKEN SEKKEI",95,7734,3528
"日建設計",5,"NIKKEN SEKKEI",95,7735,3529
"日建設計",5,"NIKKEN SEKKEI",95,7755,3539
"日建設計",5,"NIKKEN SEKKEI",95,7879,3596
"日建設計",5,"NIKKEN SEKKEI",95,7900,3605
"日建設計",5,"NIKKEN SEKKEI",95,7970,3653
"日建設計",5,"NIKKEN SEKKEI",95,8024,3679
"日建設計",5,"NIKKEN SEKKEI",95,8083,3704
"日建設計",5,"NIKKEN SEKKEI",95,8085,3706
"日建設計",5,"NIKKEN SEKKEI",95,8116,3727
"日建設計",5,"NIKKEN SEKKEI",95,8169,3756
"日建設計",5,"NIKKEN SEKKEI",95,8238,3795
