#architectJa(誤)	(正)
岩瀬諒子建築設計事務所	岩瀬諒子設計事務所
森下建築総研／Osamu Morishita Architect & Associates	森下建築総研
長谷川ゆい＋一色淳之介＋西津尚紀／ MUSA-BUILD プロジェクト	長谷川ゆい＋一色淳之介＋西津尚紀／MUSA-BUILD プロジェクト
光井純&アソシエーツ建築設計事務所	光井純アンドアソシエーツ建築設計事務所
KOHN PEDERSEN FOX ASSOCIATES PC	コーン・ペダーセン・フォックス・アソシエイツ
aat+ヨコミゾマコト建築設計事務所	aat＋ヨコミゾマコト建築設計事務所
丸の内建築事務所	丸ノ内建築事務所
岬建築設計事務所	岬建築事務所
谷内田章夫 ワークショップ	谷内田章夫／ワークショップ
飛島建設建築本部	飛島建設
川崎清＋環境建築研究所	川崎清＋環境・建築研究所
室伏次郎＋スタジオアルテック	室伏次郎／スタジオアルテック
室伏次郎／スタジオ アルテック	室伏次郎／スタジオアルテック
室伏次郎＋スタジオアルテック	室伏次郎／スタジオアルテック
小川晋一	小川晋一都市建築設計事務所
I．N．A．新建築研究所	INA新建築研究所
マンシー二・ダッフィ・アソシエイツ	マンシーニ・ダッフィ・アソシエーツ
リチャードロジャースパートナーシップ	リチャード・ロジャース・パートナーシップ
LーHOUSE	L-HOUSE
山崎泰孝＋AZ環境計画研究所	山崎泰孝＋ＡＺ環境計画研究所
木村優 アートステーション	木村優＋アートステーション
新井千秋都市建築設計	新居千秋都市建築設計
アルプ設計室	ALP設計室
日大生産工学部宗研究室	日本大学生産工学部宗研究室
YND ARCHITECTS／米田真大	米田真大／YND ARCHITECTS
JSD	ジェーエスディー
ペリクラークペリアーキテクツジャパン	ペリクラークペリアーキテクツ ジャパン
ホプキンス アーキテクツ	ホプキンス・アーキテクツ
中村拓志&NAP建築設計事務所	中村拓志／NAP建築設計事務所
国土交通省 中部地方整備局営繕部	国土交通省中部地方整備局営繕部
コーン・ペダーセン・フォックス	コーン・ペダーセン・フォックス・アソシエイツ
デザイン・ヌーブ	デザインヌーブ
デザインヌーブ一級建築士事務所	デザインヌーブ
大江匡＋PLANTEC	大江匡／PLANTEC
新日鉄	新日本製鐵
都市開発一級建築士事務所	NTT都市開発
清水建設一級建築士事務所	清水建設
清水建設設計本部	清水建設
松田平田	松田平田設計
A&T建築研究所	A＆T建築研究所
三菱地所一級建築士事務所	三菱地所
G建築研究所	竹中工務店
原広司 アトリエ・ファイ建築研究所	原広司＋アトリエ・ファイ建築研究所
香山寿夫＋環境造形研究所	香山壽夫＋環境造形研究所
篠原一男	篠原一男アトリエ
関空間設計	関・空間設計
RFA	藤村龍至建築設計事務所
鉄道建設・運輸施設整備支援機構鉄道建設本部東京支社	鉄道建設・運輸施設整備支援機構鉄道建設本部 東京支社
JR西日本京都建築工事所	西日本旅客鉄道京都工事事務所
RSPアーキテクツ・エンジニアーズ	RSP ARCHITECTS PLANNERS & ENGINEERS
シーザーペリ＆アソシエーツ	シーザー・ペリ＆アソシエーツ
シーザー・ペリ アンド アソシエーツ	シーザー・ペリ＆アソシエーツ
林雅子＋林＋山田＋中原設計同人	林雅子／林・山田・中原設計同人
鹿島建設建築設計本部	鹿島建設
ドットアーキテクツ	dot architects
清水建設 設計本部	清水建設
フジタ工業	フジタ
竹原義二 無有建築工房	竹原義二／無有建築工房
堀池秀人＋都市・建築研究所	堀池秀人 都市・建築研究所
堀池秀人	堀池秀人 都市・建築研究所
堀池秀人都市＋建築研究所	堀池秀人 都市・建築研究所
岡田新一	岡田新一設計事務所
成瀬猪熊建築設計事務所	成瀬・猪熊建築設計事務所
マウントフジアーキテクツスタジオ	MOUNT FUJI ARCHITECTS STUDIO
東京急行電鉄工務部施設課	東京急行電鉄
堀場弘＋工藤和美＋シーラカンスK＆H	堀場弘＋工藤和美＋シーラカンスK&H
堀場弘＋工藤和美／シーラカンスK＆H	堀場弘＋工藤和美／シーラカンスK&H
リチャードロジャース	リチャード ロジャース パートナーシップ ジャパン
リチャードロジャースパートナーシップジャパン	リチャード ロジャース パートナーシップ ジャパン
リチャード・ロジャース・パートナーシップ・ジャパン	リチャード ロジャース パートナーシップ ジャパン
JR西日本コンサルタンツ	ジェイアール西日本コンサルタンツ
大和ハウス	大和ハウス工業
黒川紀章	黒川紀章建築都市設計事務所
アーキテクト ファイブ	アーキテクトファイブ
Arup  東京 プロジェクトチーム	Arup
アラップ	Arup
森ビル 一級建築士事務所	森ビル
森ビル一級建築士事務所	森ビル
WORKSTATION	ワークステーション
パシフィックコンサルタンツ中部本社	パシフィックコンサルタンツ
設計組織A･D･H	設計組織ADH
古市徹雄＋都市建築研究所	古市徹雄都市建築研究所
古市徹雄・都市建築研究所	古市徹雄都市建築研究所
都市再生機構東京都心支社技術監理部	都市再生機構
東環境・建築研究所／東利恵	東 環境・建築研究所／東利恵
戸田建設一級建築士事務所	戸田建設
アール・アイ・エー名古屋支社	アール・アイ・エー 名古屋支社
設計組織プレイスメディア	プレイスメディア
設計組織PLACEMEDIA	プレイスメディア
都市再生機構東日本賃貸住宅本部	都市再生機構
香山建築研究所	香山壽夫建築研究所
隈研吾建築設計事務所	隈研吾建築都市設計事務所
前田建設	前田建設工業
前田建設工業建築本部	前田建設工業
安藤忠雄	安藤忠雄建築研究所
大成建設一級建築士事務所	大成建設
大成建設設計部	大成建設
大成建設設計本部・札幌支店設計部	大成建設
大成設計 設計本部・名古屋支店設計部	大成建設
大成建設設計本部	大成建設
大成建設関西支店一級建築士事務所	大成建設
JR東日本建築設計事務所	ジェイアール東日本建築設計事務所
R東日本建築設計	ジェイアール東日本建築設計事務所
大林組本店一級建築士事務所	大林組
大林組東京本社設計本部	大林組
大林組一級建築士事務所	大林組
日本設計ハウステンボス設計室	日本設計
竹中工務店東京本店	竹中工務店
竹中工務店東京本店設計部	竹中工務店
日建設計(MAS・2000共同設計室)	日建設計
日建設計・東京	日建設計

#追加
JR東日本建築設計	ジェイアール東日本建築設計事務所
室伏次郎／スタジオ＋アルテック	室伏次郎／スタジオアルテック
TAKE－9計画設計研究所	TAKE-9計画設計研究所
ブランソン・コーツ・アーキテクチュァ	ブランソン・コーツ・アーキテクチャー
住宅都市整備公団	住宅・都市整備公団
エイチアンドエー	エイチアンドエイ
O・Conran & Partners	コンラン & パートナーズ
Herzog & de Meuron	ヘルツォーク&ド・ムーロン
計画･環境建築	計画・環境建築
岩㟢堅一・武蔵工業大学岩﨑研究室	岩﨑堅一・武蔵工業大学岩﨑研究室
ユー･アール･ユー総合研究所	ユー・アール・ユー総合研究所

KAJLMA DESIGN／押野見邦英＋若松久男	KAJIMA DESIGN／押野見邦英＋若松久男
KAJLMA DESIGN	KAJIMA DESIGN
