#architectEn誤	正

NIKKEN SEKKEI Planners Architects & Engineers	NIKKEN SEKKEI
TAKENAKA KOMUTEN CO. LTD	TAKENAKA CORPORATION
TAKENAKA CORPORATION(DESIGN DEVELOPMENT)	TAKENAKA CORPORATION
NIHON Architects Engineers&Consultants	NIHON SEKKEI
NIHON Architects Engineering & Consultants	NIHON SEKKEI
NIHON SEKKEI Inc.	NIHON SEKKEI
NIHON SEKKEI, INC.	NIHON SEKKEI
NIHON SEKKEI KANSAI BRANCH	NIHON SEKKEI
NIHONSEKKEI	NIHON SEKKEI
NIHON SEKKEI(MASTER ARCHITECT)	NIHON SEKKEI
MITSUBISHI JISHO DESIGN	MITSUBISHI JISHO SEKKEI
MITSUBISHI JISHO SEKKEI INC	MITSUBISHI JISHO SEKKEI
MITSUBISHI JISHO SEKKEI INC.	MITSUBISHI JISHO SEKKEI
MITSUBISHI JISHO	MITSUBISHI JISHO SEKKEI
SHIMIZU Architects and Engineers	SHIMIZU CORPORATION
SHMIZU Corporation	SHIMIZU CORPORATION
SHIMIZU ARCHITECTS AND ENGINEERS	SHIMIZU CORPORATION
SHIMIZU CORPORAT10N DESIGN DIVISION	SHIMIZU CORPORATION
SHIMIZU CORPORATION ARCHITECTS & ENGINEERS	SHIMIZU CORPORATION
KAJIMA　DESIGN	KAJIMA DESIGN
YAMASHITA SEKKEI INC.	YAMASHITA SEKKEI
YAMASHITASEKKEI INC.	YAMASHITA SEKKEI
YAMASHITA SEKKEI， ARCHITECTS， ENGINEERS & CONSULTANTS	YAMASHITA SEKKEI
KENGO KUMA AND ASSOCIATE	KENGO KUMA & ASSOCIATES
KENGO KUMA& ASSOCIATES	KENGO KUMA & ASSOCIATES
KENGO KUMA& ASSOCIATES	KENGO KUMA & ASSOCIATES
KENGO KUMA&ASSOCIATES	KENGO KUMA & ASSOCIATES
NTT POWER AND BUILDING FACILITIES	NTT FACILITIES
NTT-F	NTT FACILITIES
