#architect_id	architectJa	architectEn	architectJa_cleaned	architectEn_cleaned
1	パンジョ設計共同体(環境開発研究所＋坂倉建築研究所)	Panjo design collaborative (kankyo kaihatsu kenkyusho + sakakura architects & engineers)	パンジョ設計共同体(環境開発研究所＋坂倉建築研究所)	PANJO DESIGN COLLABORATIVE (KANKYO KAIHATSU KENKYUSHO + SAKAKURA ARCHITECTS & ENGINEERS)
2	鹿島建設	KAJIMA Corporation	鹿島建設	KAJIMA CORPORATION
3	黒川紀章建築都市設計事務所	KISHO KUROKAWA Architect & Associates	黒川紀章建築都市設計事務所	KISHO KUROKAWA ARCHITECT & ASSOCIATES
4	日本大学小林美夫研究室＋アトリエ・K	Mio kobayashi laboratory, nihon university + atelier k	日本大学小林美夫研究室＋アトリエ・K	MIO KOBAYASHI LABORATORY, NIHON UNIVERSITY + ATELIER K
5	白井建築研究所	Shirai architectural institute	白井建築研究所	SHIRAI ARCHITECTURAL INSTITUTE
6	槇総合計画事務所	MAKI AND ASSOCIATES	槇総合計画事務所	MAKI AND ASSOCIATES
7	磯崎新アトリエ|環境計画	Arata isozaki atelier|environmental planning	磯崎新アトリエ|環境計画	ARATA ISOZAKI ATELIER|ENVIRONMENTAL PLANNING
8	竹中工務店	TAKENAKA CORPORATION	竹中工務店	TAKENAKA CORPORATION
9	日本電信電話公社建築局	Nippon Telegraph and Telephone Public Corporation Building Department	日本電信電話公社建築局	NIPPON TELEGRAPH AND TELEPHONE PUBLIC CORPORATION BUILDING DEPARTMENT
10	安井建築設計事務所	YASUI ARCHITECTS & ENGINEERS	安井建築設計事務所	YASUI ARCHITECTS & ENGINEERS
11	日建設計・大阪	NIKKEN SEKKEI Planners Architects & Engineers	日建設計・大阪	NIKKEN SEKKEI PLANNERS ARCHITECTS & ENGINEERS
12	菊竹清訓建築設計事務所	KIYONORI KIKUTAKE ARCHITECTS	菊竹清訓建築設計事務所	KIYONORI KIKUTAKE ARCHITECTS
14	篠原一男	KAZUO SHINOHARA Atelier	篠原一男アトリエ	KAZUO SHINOHARA ATELIER
15	fromnow	Fromnow	FROMNOW	FROMNOW
16	木村誠之助総合計画事務所	SEINOSUKE KIMURA ARCHITECTS	木村誠之助総合計画事務所	SEINOSUKE KIMURA ARCHITECTS
17	日建設計・東京	NIKKEN SEKKEI	日建設計	NIKKEN SEKKEI
19	日大生産工学部宗研究室|千代田建築研究所	So laboratory, college of industrial engineering, nihon university | chiyoda architectural institute	日本大学生産工学部宗研究室|千代田建築研究所	SO LABORATORY, COLLEGE OF INDUSTRIAL ENGINEERING, NIHON UNIVERSITY | CHIYODA ARCHITECTURAL INSTITUTE
20	池田設計事務所	Ikeda Design Office	池田設計事務所	IKEDA DESIGN OFFICE
21	岡田新一設計事務所	OKADA & ASSOCIATES	岡田新一設計事務所	OKADA & ASSOCIATES
22	浦辺建築事務所	Urabe architects office	浦辺建築事務所	URABE ARCHITECTS OFFICE
23	黒川紀章建築都市設計事務所	KISHO KUROKAWA Architect & Associates	黒川紀章建築都市設計事務所	KISHO KUROKAWA ARCHITECT & ASSOCIATES
24	綜環境計画研究所	Soukankyo planning institute	綜環境計画研究所	SOUKANKYO PLANNING INSTITUTE
25	信設計事務所	Shin design office	信設計事務所	SHIN DESIGN OFFICE
26	一色建築設計事務所	ISSIKI ARCHITECTS & PARTNERS	一色建築設計事務所	ISSIKI ARCHITECTS & PARTNERS
27	土岐新建築総合計画事務所	SIN TOKI ARCHITECT & ASSOCIATES	土岐新建築総合計画事務所	SIN TOKI ARCHITECT & ASSOCIATES
28	青島設計室	Aoshima design office	青島設計室	AOSHIMA DESIGN OFFICE
29	梵寿綱	Brahma-juna	梵寿綱	BRAHMA-JUNA
30	須賀徳光	Tokumitsu suga	須賀徳光	TOKUMITSU SUGA
31	小沢明	Akira ozawa	小沢明	AKIRA OZAWA
32	村田靖夫建築研究室	YASUO MURATA ARCHITECT & ASSOCIATES	村田靖夫建築研究室	YASUO MURATA ARCHITECT & ASSOCIATES
33	野口捷二	Shoji noguchi	野口捷二	SHOJI NOGUCHI
34	荒木正彦	Masahiko araki	荒木正彦	MASAHIKO ARAKI
35	内井昭蔵建築設計事務所	S. UCHII ARCHITACTS	内井昭蔵建築設計事務所	S. UCHII ARCHITACTS
36	アーキヴィジョン	Archi-vision	アーキヴィジョン	ARCHI-VISION
37	美建．設計事務所	Biken. design office	美建．設計事務所	BIKEN. DESIGN OFFICE
38	木島安史＋YAS都市研究所	YAS & URBANISTS	木島安史＋YAS都市研究所	YAS & URBANISTS
39	伊丹潤建築設計研究所	Jun itami architects & engineers	伊丹潤建築設計研究所	JUN ITAMI ARCHITECTS & ENGINEERS
41	吉村順三	Junzo yoshimura	吉村順三	JUNZO YOSHIMURA
42	白沢宏規	Hiroki shirasawa	白沢宏規	HIROKI SHIRASAWA
43	赤崎尚信	Naonobu akasaki	赤崎尚信	NAONOBU AKASAKI
44	関沢弘子|関沢勝一	Hiroko sekizawa |katsuichi sekizawa	関沢弘子|関沢勝一	HIROKO SEKIZAWA |KATSUICHI SEKIZAWA
45	武藤章	Akira muto	武藤章	AKIRA MUTO
46	三井不動産|日本設計事務所|武藤構造力学研究所	Mitsui fudosan| japan design office| mutoh structural mechanics laboratory	三井不動産|日本設計事務所|武藤構造力学研究所	MITSUI FUDOSAN| JAPAN DESIGN OFFICE| MUTOH STRUCTURAL MECHANICS LABORATORY
47	大成建設	TAISEI DESIGN PLANNERS ARCHITECTS & ENGINEERS	大成建設	TAISEI DESIGN PLANNERS ARCHITECTS & ENGINEERS
49	住友不動産建築技術部・戎工務店	Sumitomo fudosan architectural engineering department, ebisu corp.	住友不動産建築技術部・戎工務店	SUMITOMO FUDOSAN ARCHITECTURAL ENGINEERING DEPARTMENT, EBISU CORP.
50	竹下建築設計室	Takeshita architects & engineers	竹下建築設計室	TAKESHITA ARCHITECTS & ENGINEERS
51	富永譲＋フォルムシステム設計研究所	Yuzuru tominaga + form system research institute	富永譲＋フォルムシステム設計研究所	YUZURU TOMINAGA + FORM SYSTEM RESEARCH INSTITUTE
52	トリアド建築設計事務所	Triad architectural design office	トリアド建築設計事務所	TRIAD ARCHITECTURAL DESIGN OFFICE
54	曽根幸一・環境設計研究所	Koichi sone + environmental design institute	曽根幸一・環境設計研究所	KOICHI SONE + ENVIRONMENTAL DESIGN INSTITUTE
56	クラマタ・デザイン事務所	Kuramata design office	クラマタ・デザイン事務所	KURAMATA DESIGN OFFICE
57	内田繁・三橋いく代	Shigeru uchida, ikuyo mitsuhashi	内田繁・三橋いく代	SHIGERU UCHIDA, IKUYO MITSUHASHI
58	北村陸夫建築設計室	Rikuo kitamura architects	北村陸夫建築設計室	RIKUO KITAMURA ARCHITECTS
59	吉岡・田島設計事務所	Yoshioka & tajima design office	吉岡・田島設計事務所	YOSHIOKA & TAJIMA DESIGN OFFICE
60	清水建設建築設計本部	Shimizu corporation architectural design division	清水建設建築設計本部	SHIMIZU CORPORATION ARCHITECTURAL DESIGN DIVISION
61	指宿真智雄＋建築デザイン・緑地デザイン・設備デザイン	Machio ibusuki + architectural design green space design facility design	指宿真智雄＋建築デザイン・緑地デザイン・設備デザイン	MACHIO IBUSUKI + ARCHITECTURAL DESIGN GREEN SPACE DESIGN FACILITY DESIGN
62	伊藤喜三郎建築研究所	K.ITO ARCHITECTS & ENGINEERS	伊藤喜三郎建築研究所	K.ITO ARCHITECTS & ENGINEERS
65	建築研究所アーキヴィジョン	Architectural institute archi-vision	建築研究所アーキヴィジョン	ARCHITECTURAL INSTITUTE ARCHI-VISION
66	磯崎新アトリエ	ARATA ISOZAKI & ASSOCIATES	磯崎新アトリエ	ARATA ISOZAKI & ASSOCIATES
67	清家清|戸田建設	Kiyoshi seike|toda construction	清家清|戸田建設	KIYOSHI SEIKE|TODA CONSTRUCTION
69	芦原建築研究所	Ashihara architectural laboratory	芦原建築研究所	ASHIHARA ARCHITECTURAL LABORATORY
70	芦原建築設計研究所	Y. ASHIHARA ARCHITECT & ASSOCIATES	芦原建築設計研究所	Y. ASHIHARA ARCHITECT & ASSOCIATES
73	中島龍彦建築事務所	NAKAJIMA TATSUHIKO Architect and Associates	中島龍彦建築事務所	NAKAJIMA TATSUHIKO ARCHITECT AND ASSOCIATES
75	香山アトリエ	Kayama atelier	香山アトリエ	KAYAMA ATELIER
76	DAM・DAN	DAMDAN	DAM・DAN	DAMDAN
79	保坂陽一郎建築研究所	YOICHIRO HOSAKA ARCHITECT & ASSOCIATES	保坂陽一郎建築研究所	YOICHIRO HOSAKA ARCHITECT & ASSOCIATES
80	森京介建築事務所	Kyosuke Mori Architects	森京介建築事務所	KYOSUKE MORI ARCHITECTS
81	日本図書館協会施設委員会	Facilities committee, japan library association	日本図書館協会施設委員会	FACILITIES COMMITTEE, JAPAN LIBRARY ASSOCIATION
82	兵庫県建築部営繕課|安井建築設計事務所	Hyogo prefectural building department, repair division　|yasui architects & engineers, inc.	兵庫県建築部営繕課|安井建築設計事務所	HYOGO PREFECTURAL BUILDING DEPARTMENT, REPAIR DIVISION |YASUI ARCHITECTS & ENGINEERS, INC.
83	榎本建築設計事務所	ENOMOTO ARCHITECTS	榎本建築設計事務所	ENOMOTO ARCHITECTS
84	香川県土木部建築課・豊浜町建設課	Building division, public works department, kagawa prefecture; construction division, toyohama town	香川県土木部建築課・豊浜町建設課	BUILDING DIVISION, PUBLIC WORKS DEPARTMENT, KAGAWA PREFECTURE; CONSTRUCTION DIVISION, TOYOHAMA TOWN
85	川崎製鉄営繕部建築課|村野・森建築事務所	building division, kawasaki steel repair department|Murano & mori architectural office	川崎製鉄営繕部建築課|村野・森建築事務所	BUILDING DIVISION, KAWASAKI STEEL REPAIR DEPARTMENT|MURANO & MORI ARCHITECTURAL OFFICE
86	木村弘	Hiroshi kimura	木村弘	HIROSHI KIMURA
87	石井和紘＋難波和彦	Kazuhiro ishii + kazuhiko namba	石井和紘＋難波和彦	KAZUHIRO ISHII + KAZUHIKO NAMBA
88	上田篤＋塩路建築事務所	Atsushi ueda + shioji architects	上田篤＋塩路建築事務所	ATSUSHI UEDA + SHIOJI ARCHITECTS
89	日新設計	Nisshin design	日新設計	NISSHIN DESIGN
90	芙蓉総合開発	Fuyo general development co.	芙蓉総合開発	FUYO GENERAL DEVELOPMENT CO.
91	日本設計事務所	NIHON Architects, Engineers & Consultants	日本設計事務所	NIHON ARCHITECTS, ENGINEERS & CONSULTANTS
92	坂倉建築研究所東京事務所	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS	坂倉建築研究所東京事務所	SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS
93	井上武吉研究所	Takeyoshi inoue research institute	井上武吉研究所	TAKEYOSHI INOUE RESEARCH INSTITUTE
96	岡田威海	Okada, takekai	岡田威海	OKADA, TAKEKAI
97	アトリエ・モルフ建築事務所	Atelier morph architects	アトリエ・モルフ建築事務所	ATELIER MORPH ARCHITECTS
98	鋤納忠治	Tadaharu sukinao	鋤納忠治	TADAHARU SUKINAO
99	黒沢隆研究室	TAKASHI KUROSAWA Atelier	黒沢隆研究室	TAKASHI KUROSAWA ATELIER
100	氏家隆正設計事務所	Takamasa ujiie design office	氏家隆正設計事務所	TAKAMASA UJIIE DESIGN OFFICE
101	アーキブレーン	Archibrain	アーキブレーン	ARCHIBRAIN
102	星島建築設計事務所	Hoshijima architects & engineers	星島建築設計事務所	HOSHIJIMA ARCHITECTS & ENGINEERS
105	小野建築・環境計画事務所	ONO ARCHITECT & ASSOCIATES	小野建築・環境計画事務所	ONO ARCHITECT & ASSOCIATES
107	URBOT	Urbot	URBOT	URBOT
108	藤井博巳建築研究室	HIROMI FUJII, Architect and Associates	藤井博巳建築研究室	HIROMI FUJII, ARCHITECT AND ASSOCIATES
109	林雅子／林・山田・中原設計同人	MASAKO HAYASHI	林雅子／林・山田・中原設計同人	MASAKO HAYASHI
110	坂倉建築研究所大阪事務所	SAKAKURA ASSOCIATES	坂倉建築研究所大阪事務所	SAKAKURA ASSOCIATES
112	デザインシステム	DESIGN SYSTEM INC.	デザインシステム	DESIGN SYSTEM INC.
113	清水建設	SHIMIZU CORPORATION	清水建設	SHIMIZU CORPORATION
114	兵庫沖縄友愛運動推進協議会|小野建築設計事務所	Hyogo okinawa friendship movement promotion council　|ono architects & engineers, inc.	兵庫沖縄友愛運動推進協議会|小野建築設計事務所	HYOGO OKINAWA FRIENDSHIP MOVEMENT PROMOTION COUNCIL |ONO ARCHITECTS & ENGINEERS, INC.
115	環境デザイン研究所	ENVIRONMENT DESIGN INSTITUTE	環境デザイン研究所	ENVIRONMENT DESIGN INSTITUTE
116	匠設計	TAKUMI ARCHITECTS & ENGINEERS	匠設計	TAKUMI ARCHITECTS & ENGINEERS
117	アトリエ・ナカソネ＋アトリエ・アイ	Atelier nakasone + atelier ai	アトリエ・ナカソネ＋アトリエ・アイ	ATELIER NAKASONE + ATELIER AI
119	国建設計	Kokken design	国建設計	KOKKEN DESIGN
120	池原謙一郎	Kenichiro ikehara	池原謙一郎	KENICHIRO IKEHARA
121	大林組	OBAYASHI CORPORATION	大林組	OBAYASHI CORPORATION
122	福沢健次＋F設計計画事務所	Kenji fukuzawa + f design planning office	福沢健次＋F設計計画事務所	KENJI FUKUZAWA + F DESIGN PLANNING OFFICE
123	日立建設設計	Hitachi construction design co.	日立建設設計	HITACHI CONSTRUCTION DESIGN CO.
124	三菱地所	MITSUBISHI ESTATE ARCHITECTURAL & ENGINEERING OFFICE	三菱地所	MITSUBISHI ESTATE ARCHITECTURAL & ENGINEERING OFFICE
125	集団住宅・建築研究所	Collective housing and building research institute	集団住宅・建築研究所	COLLECTIVE HOUSING AND BUILDING RESEARCH INSTITUTE
127	海洋博沖縄設計共同企業体	Ocean expo okinawa design joint venture	海洋博沖縄設計共同企業体	OCEAN EXPO OKINAWA DESIGN JOINT VENTURE
